S/N,Agency,Identified Component,Identified parameters,Suggested Revit Representation,Suggested Archicad Representation,Suggested Tekla Structures Representation,Suggested Bentley OpenBuildings Representation,Suggested Discipline,"IFC4
 Entities","IFC Sub Types
(* = USERDEFINED)",Property Set,Property Name,Property Type,Property Unit,"IFC4
Material Set","Accepted Values 
(for parameters with Input Limitations)","Sample Value for Reference
(for parameters without Input Limitations)",,,,,
462,BCA,Prefabricated Building Systems and MEP Components,Space Name,Rooms,Zone,N.A,Space,ARC,IfcSpace,"*PREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",SGPset_Space,SpaceName,Label,N.A,N.A,N.A,"Master Bath, Maid Bath, Yard Bath","IfcSpacePREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",skip,Space,Space,okay
463,BCA,Prefabricated Building Systems and MEP Components,Internal Length,Rooms,Zone,N.A,Space,ARC,IfcSpace,"*PREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",SGPset_SpaceDimension,InternalLength,Length,mm,N.A,N.A,N.A,"IfcSpacePREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",skip,Space,Space,okay
464,BCA,Prefabricated Building Systems and MEP Components,Internal Width,Rooms,Zone,N.A,Space,ARC,IfcSpace,"*PREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",SGPset_SpaceDimension,InternalWidth,Length,mm,N.A,N.A,N.A,"IfcSpacePREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",skip,Space,Space,okay
465,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Rooms,Zone,N.A,Space,ARC,IfcSpace,"*PREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",SGPset_Space,ConstructionMethod,Label,N.A,N.A,"Prefab, CIS, PC, PBU",N.A,"IfcSpacePREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",skip,Space,Space,okay
466,BCA,Prefabricated Building Systems and MEP Components,Accreditation MAS,Rooms,Zone,N.A,Space,ARC,IfcSpace,"*PREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",SGPset_Space,Accreditation_MAS,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcSpacePREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",skip,Space,Space,okay
467,BCA,Prefabricated Building Systems and MEP Components,Mechanical Connection Type,Rooms,Zone,N.A,Space,ARC,IfcSpace,"*PREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",SGPset_Space,MechanicalConnectionType,Label,N.A,N.A,N.A,N.A,"IfcSpacePREFABRICATEDBATHROOMUNIT, *PREFABRICATEDMEPHORIZONTALMODULE, *PREFABRICATEDMEPPLANTMODULE, *PREFABRICATEDMEPVERTICALMODULE, *PREFABRICATEDPUMPSKID",skip,Space,Space,okay
468,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,N.A,SGPset_Slab,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcSlabN.A,skip,Slab,Slab,okay
469,BCA,Prefabricated Building Systems and MEP Components,Thickness,Floors,Slab,Concrete Slab,Slab,STR,IfcSlab,N.A,SGPset_SlabDimension,Thickness,Length,mm,N.A,N.A,300,IfcSlabN.A,skip,Slab,Slab,okay
470,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Walls,Wall,Panel,Wall,ARC,IfcWall,N.A,SGPset_Wall,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcWallN.A,skip,Wall,Wall,okay
471,BCA,Prefabricated Building Systems and MEP Components,Thickness,Walls,Wall,Panel,Wall,ARC,IfcWall,N.A,SGPset_WallDimension,Thickness,Length,mm,N.A,N.A,300,IfcWallN.A,skip,Wall,Wall,okay
472,BCA,Prefabricated Building Systems and MEP Components,N.A,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,RIGIDSEGMENT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeSegmentRIGIDSEGMENT,check,PipeSegment,#N/A,#N/A
473,BCA,Prefabricated Building Systems and MEP Components,N.A,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,FLEXIBLESEGMENT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcPipeSegmentFLEXIBLESEGMENT,check,PipeSegment,#N/A,#N/A
474,BCA,Prefabricated Building Systems and MEP Components,Pre-insulated,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
475,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,ConstructionMethod,Label,N.A,N.A,Prefabricated,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
476,BCA,Prefabricated Building Systems and MEP Components,System Name,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,SystemName,Label,N.A,N.A,N.A,N.A,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
477,BCA,Prefabricated Building Systems and MEP Components,System Type,Pipes,Pipe,N.A,Pipe,MEP,IfcPipeSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_PipeSegment,SystemType,Label,N.A,N.A,N.A,Chilled Water,"IfcPipeSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,PipeSegment,PipeSegment,okay
478,BCA,Prefabricated Building Systems and MEP Components,N.A,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,RIGIDSEGMENT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDuctSegmentRIGIDSEGMENT,check,DuctSegment,#N/A,#N/A
479,BCA,Prefabricated Building Systems and MEP Components,N.A,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,FLEXIBLESEGMENT,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDuctSegmentFLEXIBLESEGMENT,check,DuctSegment,#N/A,#N/A
480,BCA,Prefabricated Building Systems and MEP Components,Pre-insulated,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_DuctSegment,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDuctSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,DuctSegment,DuctSegment,okay
481,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_DuctSegment,ConstructionMethod,Label,N.A,N.A,Prefabricated,N.A,"IfcDuctSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,DuctSegment,DuctSegment,okay
482,BCA,Prefabricated Building Systems and MEP Components,System Name,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_DuctSegment,SystemName,Label,N.A,N.A,N.A,N.A,"IfcDuctSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,DuctSegment,DuctSegment,okay
483,BCA,Prefabricated Building Systems and MEP Components,System Type,Ducts,Duct,N.A,Duct,MEP,IfcDuctSegment,"RIGIDSEGMENT, FLEXIBLESEGMENT",SGPset_DuctSegment,SystemType,Label,N.A,N.A,N.A,Chilled Water,"IfcDuctSegmentRIGIDSEGMENT, FLEXIBLESEGMENT",skip,DuctSegment,DuctSegment,okay
484,BCA,Prefabricated Building Systems and MEP Components,Pre-insulated,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,N.A,SGPset_PipeFitting,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcPipeFittingN.A,skip,PipeFitting,PipeFitting,okay
485,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,N.A,SGPset_PipeFitting,ConstructionMethod,Label,N.A,N.A,Prefabricated,N.A,IfcPipeFittingN.A,skip,PipeFitting,PipeFitting,okay
486,BCA,Prefabricated Building Systems and MEP Components,System Name,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,N.A,SGPset_PipeFitting,SystemName,Label,N.A,N.A,N.A,N.A,IfcPipeFittingN.A,skip,PipeFitting,PipeFitting,okay
487,BCA,Prefabricated Building Systems and MEP Components,System Type,Pipe Fittings,Pipe Fitting,N.A,Pipe Accessory,MEP,IfcPipeFitting,N.A,SGPset_PipeFitting,SystemType,Label,N.A,N.A,N.A,Chilled Water,IfcPipeFittingN.A,skip,PipeFitting,PipeFitting,okay
488,BCA,Prefabricated Building Systems and MEP Components,Pre-insulated,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,PreInsulated,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
489,BCA,Prefabricated Building Systems and MEP Components,Construction Method,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,ConstructionMethod,Label,N.A,N.A,Prefabricated,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
490,BCA,Prefabricated Building Systems and MEP Components,System Name,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,SystemName,Label,N.A,N.A,N.A,N.A,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
491,BCA,Prefabricated Building Systems and MEP Components,System Type,Duct Fittings,Duct Fitting,N.A,Duct Accessory,MEP,IfcDuctFitting,N.A,SGPset_DuctFitting,SystemType,Label,N.A,N.A,N.A,Chilled Water,IfcDuctFittingN.A,skip,DuctFitting,DuctFitting,okay
492,BCA,Prefabricated Building Systems and MEP Components,Is Common,Generic Models,Object,N.A,Object,MEP,IfcDiscreteAccessory,*PIPESUPPORT,SGPset_DiscreteAccessory,IsCommon,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcDiscreteAccessoryPIPESUPPORT,okay,DiscreteAccessory,DiscreteAccessory,okay
493,BCA,Prefabricated Building Systems and MEP Components,System Name,Generic Models,Object,N.A,Object,MEP,IfcDiscreteAccessory,*PIPESUPPORT,SGPset_DiscreteAccessory,SystemName,Label,N.A,N.A,N.A,N.A,IfcDiscreteAccessoryPIPESUPPORT,okay,DiscreteAccessory,DiscreteAccessory,okay
494,BCA,Prefabricated Building Systems and MEP Components,System Type,Generic Models,Object,N.A,Object,MEP,IfcDiscreteAccessory,*PIPESUPPORT,SGPset_DiscreteAccessory,SystemType,Label,N.A,N.A,N.A,Chilled Water,IfcDiscreteAccessoryPIPESUPPORT,okay,DiscreteAccessory,DiscreteAccessory,okay
495,BCA,Project Development Type,Owner Built Owner Stay,Project Information,IFC Project Manager,N.A,Floor Manager,ARC,IfcBuilding,N.A,SGPset_Building,OwnerBuiltOwnerStay,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcBuildingN.A,skip,Building,Building,okay
496,BCA,Project Development Type,Project Development Type,Project Information,IFC Project Manager,N.A,Floor Manager,ARC,IfcBuilding,N.A,SGPset_Building,ProjectDevelopmentType,Label,N.A,N.A,"Residential (landed), Residential (non-landed), Mixed Development, Commercial, Industrial, Healthcare, Institutional, Agriculture, Transport Stations, Civil engineering works / Infrastructure, Free-standing structures, Others",N.A,IfcBuildingN.A,skip,Building,Building,okay
497,PUB,Pump,Capacity,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,Capacity,VolumetricFlowRate,L/s,N.A,N.A,N.A,IfcPumpSUMPPUMP,check,Pump,Pump,okay
498,PUB,Pump,Capacity,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,Capacity,VolumetricFlowRate,L/s,N.A,N.A,N.A,IfcPumpSUMPPUMP,check,Pump,Pump,okay
499,PUB,Pump,Duty,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,Duty,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcPumpSUMPPUMP,check,Pump,Pump,okay
500,PUB,Pump,Standby Pump,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,Standby,Boolean,N.A,N.A,TRUE/FALSE,N.A,IfcPumpSUMPPUMP,check,Pump,Pump,okay
501,PUB,Pump,Pump Head,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,PumpHead,Real,m,N.A,N.A,"1, 2",IfcPumpSUMPPUMP,check,Pump,Pump,okay
502,PUB,Pump,System Name,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,SystemName,Label,N.A,N.A,N.A,N.A,IfcPumpSUMPPUMP,check,Pump,Pump,okay
503,PUB,Pump,System Type,Mechanical Equipment,Flow Equipment,N.A,Pump,MEP,IfcPump,SUMPPUMP,SGPset_Pump,SystemType,Label,N.A,N.A,N.A,N.A,IfcPumpSUMPPUMP,check,Pump,Pump,okay
504,URA,Racking System,N.A,Furniture,Object,N.A,Furniture,ARC,IfcFurniture,*RACK,N.A,N.A,N.A,N.A,N.A,N.A,N.A,IfcFurnitureRACK,okay,Furniture,#N/A,#N/A
505,BCA,Railing,N.A,Railings,Railing,Component,Railing,ARC,IfcRailing,N.A,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRailingN.A,skip,Railing,#N/A,#N/A
506,BCA,Railing,N.A,Railings,Railing,Component,Railing,STR,IfcRailing,*BOLLARD,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRailingBOLLARD,okay,Railing,#N/A,#N/A
507,BCA,Railing,N.A,Railings,Railing,N.A,Railing,ARC,IfcRailing,GUARDRAIL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRailingGUARDRAIL,check,Railing,#N/A,#N/A
508,BCA,Railing,Height,Railings,Railing,Component,Railing,ARC,IfcRailing,"N.A, *BOLLARD, GUARDRAIL",SGPset_RailingDimension,Height,Length,mm,N.A,Any positive number,1000,"IfcRailingN.A, *BOLLARD, GUARDRAIL",skip,Railing,Railing,okay
509,BCA,Railing,Material,Railings,Railing,Component,Railing,STR,IfcRailing,"N.A, *BOLLARD, GUARDRAIL",SGPset_Material,Material,Label,N.A,Name,N.A,N.A,"IfcRailingN.A, *BOLLARD, GUARDRAIL",skip,Railing,Materia,check
510,BCA,Railing,Safety Barrier,Railings,Railing,Component,Railing,ARC,IfcRailing,"N.A, *BOLLARD, GUARDRAIL",SGPset_Railing,SafetyBarrier,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRailingN.A, *BOLLARD, GUARDRAIL",skip,Railing,Railing,okay
511,BCA,Railing,Type of Barrier,Railings,Railing,Component,Railing,ARC,IfcRailing,"N.A, *BOLLARD, GUARDRAIL",SGPset_Railing,TypeOfBarrier,Label,N.A,N.A,N.A,N.A,"IfcRailingN.A, *BOLLARD, GUARDRAIL",skip,Railing,Railing,okay
512,BCA,Railing,Is Laminated,Railings,Railing,Component,Railing,ARC,IfcRailing,"N.A, *BOLLARD, GUARDRAIL",SGPset_Railing,IsLaminated,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRailingN.A, *BOLLARD, GUARDRAIL",skip,Railing,Railing,okay
513,LTA,Ramp,Curved Ramp,Ramps,Ramp,Item,Object,ARC,IfcRamp,*CURVEDRAMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRampCURVEDRAMP,okay,Ramp,#N/A,#N/A
514,BCA,Ramp,Flared Kerb Ramp,Ramps,Ramp,Item,Object,ARC,IfcRamp,*FLAREDKERBRAMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRampFLAREDKERBRAMP,okay,Ramp,#N/A,#N/A
515,BCA,Ramp,Straight Run Ramp,Ramps,Ramp,Item,Object,ARC,IfcRamp,STRAIGHT_RUN_RAMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRampSTRAIGHT_RUN_RAMP,check,Ramp,#N/A,#N/A
516,LTA,Ramp,Straight Run Ramp,Ramps,Ramp,Item,Object,ARC,IfcRamp,STRAIGHT_RUN_RAMP,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcRampSTRAIGHT_RUN_RAMP,check,Ramp,#N/A,#N/A
517,BCA,Ramp,Gradient,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_RampDimension,Gradient,Label,N.A,N.A,N.A,1:25,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
518,LTA,Ramp,Gradient,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_RampDimension,Gradient,Label,N.A,N.A,N.A,1:12,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
519,BCA,Ramp,Width,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_RampDimension,Width,Length,mm,N.A,N.A,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
520,LTA,Ramp,Width,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_RampDimension,Width,Length,mm,N.A,N.A,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
521,BCA,Ramp,Barrier Free Accessibility,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Ramp,BarrierFreeAccessibility,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
522,LTA,Ramp,Transition Ramp,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Ramp,TransitionRamp,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
523,LTA,Ramp,Accessway,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Ramp,Accessway,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
524,LTA,Ramp,Egress,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Ramp,Egress,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
525,LTA,Ramp,Ingress,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Ramp,Ingress,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
526,LTA,Ramp,Vehicular,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Ramp,Vehicular,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Ramp,okay
527,LTA,Ramp,Material,Ramps,Ramp,Item,Object,ARC,IfcRamp,"*CURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",SGPset_Material,Material,Label,N.A,N.A,N.A,N.A,"IfcRampCURVEDRAMP, *FLAREDKERBRAMP, STRAIGHT_RUN_RAMP",skip,Ramp,Mate,check
528,BCA,Refuse Chute / Recyclables Chute,Space Name,Rooms,Zone,N.A,Space,ARC,IfcSpace,SPACE,SGPset_Space,SpaceName,Label,N.A,N.A,"Refuse Chute, Recyclables Chute",N.A,IfcSpaceSPACE,check,Space,Space,okay
529,BCA,Refuse Chute / Recyclables Chute,Construction Method,Model Groups,IFC Assignments,N.A,System,ARC,IfcSpace,SPACE,SGPset_Space,ConstructionMethod,Label,N.A,N.A,"Precast, Prefab, CIS",N.A,IfcSpaceSPACE,check,Space,Space,okay
530,BCA,Refuse Chute / Recyclables Chute,Inner Length,Model Groups,IFC Assignments,N.A,System,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,InnerLength,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
531,BCA,Refuse Chute / Recyclables Chute,Inner Width,Model Groups,IFC Assignments,N.A,System,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,InnerWidth,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
532,BCA,Refuse Chute / Recyclables Chute,Outer Length,Model Groups,IFC Assignments,N.A,System,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,OuterLength,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
533,BCA,Refuse Chute / Recyclables Chute,Outer Width,Model Groups,IFC Assignments,N.A,System,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,OuterWidth,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
534,BCA,Refuse Chute / Recyclables Chute,Chamfer Radius,Model Groups,IFC Assignments,N.A,System,ARC,IfcSpace,SPACE,SGPset_SpaceDimension,ChamferRadius,Length,mm,N.A,N.A,N.A,IfcSpaceSPACE,check,Space,Space,okay
535,NEA,Refuse Chute / Recyclables Chute,Construction Method,Walls,Wall,Panel,Wall,ARC,IfcWall,*REFUSECHUTE,SGPset_Wall,ConstructionMethod,Label,N.A,N.A,"CIS, PC, PT (Pre), PT (Post), PF, PPVC, Spun",N.A,IfcWallREFUSECHUTE,okay,Wall,Wall,okay
536,NEA,Refuse Chute / Recyclables Chute,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*ACCESSHATCH,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorACCESSHATCH,okay,Door,#N/A,#N/A
537,NEA,Refuse Chute / Recyclables Chute,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*RECYCLABLESCHUTEACCESSPANEL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorRECYCLABLESCHUTEACCESSPANEL,okay,Door,#N/A,#N/A
538,NEA,Refuse Chute / Recyclables Chute,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*RECYCLABLESCHUTEHOPPER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorRECYCLABLESCHUTEHOPPER,okay,Door,#N/A,#N/A
539,NEA,Refuse Chute / Recyclables Chute,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*REFUSECHUTEACCESSPANEL,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorREFUSECHUTEACCESSPANEL,okay,Door,#N/A,#N/A
540,NEA,Refuse Chute / Recyclables Chute,N.A,Doors,Door,N.A,Door,ARC,IfcDoor,*REFUSECHUTEHOPPER,Please refer to property sets below,Please refer to properties below,N.A,N.A,N.A,N.A,N.A,IfcDoorREFUSECHUTEHOPPER,okay,Door,#N/A,#N/A
541,NEA,Refuse Chute / Recyclables Chute,Air Tight,Doors,Door,N.A,Door,ARC,IfcDoor,"*ACCESSHATCH, *RECYCLABLESCHUTEACCESSPANEL, *RECYCLABLESCHUTEHOPPER, *REFUSECHUTEACCESSPANEL, *REFUSECHUTEHOPPER",SGPset_Door,AirTight,Boolean,N.A,N.A,TRUE/FALSE,N.A,"IfcDoorACCESSHATCH, *RECYCLABLESCHUTEACCESSPANEL, *RECYCLABLESCHUTEHOPPER, *REFUSECHUTEACCESSPANEL, *REFUSECHUTEHOPPER",skip,Door,Door,okay
542,NEA,Refuse Chute / Recyclables Chute,Fire Rating,Doors,Door,N.A,Door,ARC,IfcDoor,"*ACCESSHATCH, *RECYCLABLESCHUTEACCESSPANEL, *RECYCLABLESCHUTEHOPPER, *REFUSECHUTEACCESSPANEL, *REFUSECHUTEHOPPER",Pset_DoorCommon,FireRating,Label,hr,N.A,"0.5, 1, 1.5, 2, 2.5, 3, 3.5, 4",N.A,"IfcDoorACCESSHATCH, *RECYCLABLESCHUTEACCESSPANEL, *RECYCLABLESCHUTEHOPPER, *REFUSECHUTEACCESSPANEL, *REFUSECHUTEHOPPER",skip,Door,Door,okay
